,SKU,ware_house,order_date,y
0,LG68552,RDC_杭州,2019-04-08,50
1,LG68552,RDC_杭州,2019-07-11,10
2,LG68552,RDC_杭州,2021-03-19,30
3,LG68552,RDC_杭州,2021-03-02,10
4,LG68552,RDC_杭州,2021-04-23,50
5,LG68552,RDC_杭州,2021-04-13,30
6,LG68552,RDC_杭州,2021-11-17,32
7,LG68552,RDC_杭州,2021-10-07,10
8,LG68552,RDC_杭州,2020-07-23,30
9,LG68552,RDC_杭州,2021-08-24,15
14,LG68552,RDC_杭州,2018-01-08,101
15,LG68552,RDC_杭州,2018-01-15,128
16,LG68552,RDC_杭州,2018-01-22,178
17,LG68552,RDC_杭州,2018-01-29,81
18,LG68552,RDC_杭州,2018-02-05,88
19,LG68552,RDC_杭州,2018-02-12,174
20,LG68552,RDC_杭州,2018-02-19,136
21,LG68552,RDC_杭州,2018-02-26,79
22,LG68552,RDC_杭州,2018-03-05,141
23,LG68552,RDC_杭州,2018-03-12,120
24,LG68552,RDC_杭州,2018-03-19,89
25,LG68552,RDC_杭州,2018-03-26,123
26,LG68552,RDC_杭州,2018-04-02,39
27,LG68552,RDC_杭州,2018-04-09,45
28,LG68552,RDC_杭州,2018-04-16,102
29,LG68552,RDC_杭州,2018-04-23,80
30,LG68552,RDC_杭州,2018-04-30,140
31,LG68552,RDC_杭州,2018-05-07,71
32,LG68552,RDC_杭州,2018-05-14,55
33,LG68552,RDC_杭州,2018-05-21,192
34,LG68552,RDC_杭州,2018-05-28,124
35,LG68552,RDC_杭州,2018-06-04,184
36,LG68552,RDC_杭州,2018-06-11,171
37,LG68552,RDC_杭州,2018-06-18,158
38,LG68552,RDC_杭州,2018-06-25,127
39,LG68552,RDC_杭州,2018-07-02,54
40,LG68552,RDC_杭州,2018-07-09,128
41,LG68552,RDC_杭州,2018-07-16,90
42,LG68552,RDC_杭州,2018-07-23,106
43,LG68552,RDC_杭州,2018-07-30,83
44,LG68552,RDC_杭州,2018-08-06,207
45,LG68552,RDC_杭州,2018-08-13,121
46,LG68552,RDC_杭州,2018-08-20,52
47,LG68552,RDC_杭州,2018-08-27,147
48,LG68552,RDC_杭州,2018-09-03,42
49,LG68552,RDC_杭州,2018-09-10,119
50,LG68552,RDC_杭州,2018-09-17,16
51,LG68552,RDC_杭州,2018-09-24,59
52,LG68552,RDC_杭州,2018-10-01,130
53,LG68552,RDC_杭州,2018-10-08,147
54,LG68552,RDC_杭州,2018-10-15,120
55,LG68552,RDC_杭州,2018-10-22,96
56,LG68552,RDC_杭州,2018-10-29,97
57,LG68552,RDC_杭州,2018-11-05,189
58,LG68552,RDC_杭州,2018-11-12,80
59,LG68552,RDC_杭州,2018-11-19,82
60,LG68552,RDC_杭州,2018-11-26,172
61,LG68552,RDC_杭州,2018-12-03,146
62,LG68552,RDC_杭州,2018-12-10,25
63,LG68552,RDC_杭州,2018-12-17,135
64,LG68552,RDC_杭州,2018-12-24,102
65,LG68552,RDC_杭州,2018-12-31,84
66,LG68552,RDC_杭州,2019-01-07,154
67,LG68552,RDC_杭州,2019-01-14,162
68,LG68552,RDC_杭州,2019-01-21,164
69,LG68552,RDC_杭州,2019-01-28,66
70,LG68552,RDC_杭州,2019-02-04,99
71,LG68552,RDC_杭州,2019-02-11,127
72,LG68552,RDC_杭州,2019-02-18,162
73,LG68552,RDC_杭州,2019-02-25,94
74,LG68552,RDC_杭州,2019-03-04,120
75,LG68552,RDC_杭州,2019-03-11,104
76,LG68552,RDC_杭州,2019-03-18,69
77,LG68552,RDC_杭州,2019-03-25,411
78,LG68552,RDC_杭州,2019-04-01,218
79,LG68552,RDC_杭州,2019-04-08,144
80,LG68552,RDC_杭州,2019-04-15,196
81,LG68552,RDC_杭州,2019-04-22,164
82,LG68552,RDC_杭州,2019-04-29,108
83,LG68552,RDC_杭州,2019-05-06,150
84,LG68552,RDC_杭州,2019-05-13,218
85,LG68552,RDC_杭州,2019-05-20,133
86,LG68552,RDC_杭州,2019-05-27,229
87,LG68552,RDC_杭州,2019-06-03,132
88,LG68552,RDC_杭州,2019-06-10,324
89,LG68552,RDC_杭州,2019-06-17,235
90,LG68552,RDC_杭州,2019-06-24,1246
91,LG68552,RDC_杭州,2019-07-01,132
92,LG68552,RDC_杭州,2019-07-08,26
93,LG68552,RDC_杭州,2019-07-15,125
94,LG68552,RDC_杭州,2019-07-22,154
95,LG68552,RDC_杭州,2019-07-29,203
96,LG68552,RDC_杭州,2019-08-05,104
97,LG68552,RDC_杭州,2019-08-12,97
98,LG68552,RDC_杭州,2019-08-19,95
99,LG68552,RDC_杭州,2019-08-26,167
100,LG68552,RDC_杭州,2019-09-02,135
101,LG68552,RDC_杭州,2019-09-09,97
102,LG68552,RDC_杭州,2019-09-16,155
103,LG68552,RDC_杭州,2019-09-23,146
104,LG68552,RDC_杭州,2019-09-30,184
105,LG68552,RDC_杭州,2019-10-07,90
106,LG68552,RDC_杭州,2019-10-14,111
107,LG68552,RDC_杭州,2019-10-21,98
108,LG68552,RDC_杭州,2019-10-28,55
109,LG68552,RDC_杭州,2019-11-04,339
110,LG68552,RDC_杭州,2019-11-11,145
111,LG68552,RDC_杭州,2019-11-18,668
112,LG68552,RDC_杭州,2019-11-25,123
113,LG68552,RDC_杭州,2019-12-02,74
114,LG68552,RDC_杭州,2019-12-09,108
115,LG68552,RDC_杭州,2019-12-16,117
116,LG68552,RDC_杭州,2019-12-23,97
117,LG68552,RDC_杭州,2019-12-30,126
118,LG68552,RDC_杭州,2020-01-06,159
119,LG68552,RDC_杭州,2020-01-13,221
120,LG68552,RDC_杭州,2020-01-20,142
121,LG68552,RDC_杭州,2020-01-27,137
122,LG68552,RDC_杭州,2020-02-03,127
123,LG68552,RDC_杭州,2020-02-10,30
124,LG68552,RDC_杭州,2020-02-17,127
125,LG68552,RDC_杭州,2020-02-24,137
126,LG68552,RDC_杭州,2020-03-02,268
127,LG68552,RDC_杭州,2020-03-09,165
128,LG68552,RDC_杭州,2020-03-16,159
129,LG68552,RDC_杭州,2020-03-23,140
130,LG68552,RDC_杭州,2020-03-30,108
131,LG68552,RDC_杭州,2020-04-06,220
132,LG68552,RDC_杭州,2020-04-13,199
133,LG68552,RDC_杭州,2020-04-20,201
134,LG68552,RDC_杭州,2020-04-27,110
135,LG68552,RDC_杭州,2020-05-04,217
136,LG68552,RDC_杭州,2020-05-11,87
137,LG68552,RDC_杭州,2020-05-18,179
138,LG68552,RDC_杭州,2020-05-25,276
139,LG68552,RDC_杭州,2020-06-01,226
140,LG68552,RDC_杭州,2020-06-08,313
141,LG68552,RDC_杭州,2020-06-15,284
142,LG68552,RDC_杭州,2020-06-22,261
143,LG68552,RDC_杭州,2020-06-29,65
144,LG68552,RDC_杭州,2020-07-06,144
145,LG68552,RDC_杭州,2020-07-13,459
146,LG68552,RDC_杭州,2020-07-20,176
147,LG68552,RDC_杭州,2020-07-27,99
148,LG68552,RDC_杭州,2020-08-03,223
149,LG68552,RDC_杭州,2020-08-10,113
150,LG68552,RDC_杭州,2020-08-17,120
151,LG68552,RDC_杭州,2020-08-24,178
152,LG68552,RDC_杭州,2020-08-31,72
153,LG68552,RDC_杭州,2020-09-07,151
154,LG68552,RDC_杭州,2020-09-14,210
155,LG68552,RDC_杭州,2020-09-21,76
156,LG68552,RDC_杭州,2020-09-28,160
157,LG68552,RDC_杭州,2020-10-05,154
158,LG68552,RDC_杭州,2020-10-12,139
159,LG68552,RDC_杭州,2020-10-19,71
160,LG68552,RDC_杭州,2020-10-26,77
161,LG68552,RDC_杭州,2020-11-02,387
162,LG68552,RDC_杭州,2020-11-09,162
163,LG68552,RDC_杭州,2020-11-16,149
164,LG68552,RDC_杭州,2020-11-23,167
165,LG68552,RDC_杭州,2020-11-30,126
166,LG68552,RDC_杭州,2020-12-07,156
167,LG68552,RDC_杭州,2020-12-14,164
168,LG68552,RDC_杭州,2020-12-21,117
169,LG68552,RDC_杭州,2020-12-28,243
170,LG68552,RDC_杭州,2021-01-04,178
171,LG68552,RDC_杭州,2021-01-11,83
172,LG68552,RDC_杭州,2021-01-18,182
173,LG68552,RDC_杭州,2021-01-25,91
174,LG68552,RDC_杭州,2021-02-01,185
175,LG68552,RDC_杭州,2021-02-08,200
176,LG68552,RDC_杭州,2021-02-15,103
177,LG68552,RDC_杭州,2021-02-22,1260
178,LG68552,RDC_杭州,2021-03-01,181
179,LG68552,RDC_杭州,2021-03-08,231
180,LG68552,RDC_杭州,2021-03-15,254
181,LG68552,RDC_杭州,2021-03-22,145
182,LG68552,RDC_杭州,2021-03-29,144
183,LG68552,RDC_杭州,2021-04-05,134
184,LG68552,RDC_杭州,2021-04-12,136
185,LG68552,RDC_杭州,2021-04-19,174
186,LG68552,RDC_杭州,2021-04-26,188
187,LG68552,RDC_杭州,2021-05-03,177
188,LG68552,RDC_杭州,2021-05-10,214
189,LG68552,RDC_杭州,2021-05-17,443
190,LG68552,RDC_杭州,2021-05-24,255
191,LG68552,RDC_杭州,2021-05-31,309
192,LG68552,RDC_杭州,2021-06-07,493
193,LG68552,RDC_杭州,2021-06-14,340
194,LG68552,RDC_杭州,2021-06-21,274
195,LG68552,RDC_杭州,2021-06-28,105
196,LG68552,RDC_杭州,2021-07-05,180
197,LG68552,RDC_杭州,2021-07-12,156
198,LG68552,RDC_杭州,2021-07-19,203
199,LG68552,RDC_杭州,2021-07-26,184
200,LG68552,RDC_杭州,2021-08-02,157
201,LG68552,RDC_杭州,2021-08-09,126
202,LG68552,RDC_杭州,2021-08-16,76
203,LG68552,RDC_杭州,2021-08-23,130
204,LG68552,RDC_杭州,2021-08-30,192
205,LG68552,RDC_杭州,2021-09-06,166
206,LG68552,RDC_杭州,2021-09-13,98
207,LG68552,RDC_杭州,2021-09-20,181
208,LG68552,RDC_杭州,2021-09-27,186
209,LG68552,RDC_杭州,2021-10-04,113
210,LG68552,RDC_杭州,2021-10-11,166
211,LG68552,RDC_杭州,2021-10-18,152
212,LG68552,RDC_杭州,2021-10-25,102
213,LG68552,RDC_杭州,2021-11-01,409
214,LG68552,RDC_杭州,2021-11-08,1101
215,LG68552,RDC_杭州,2021-11-15,206
216,LG68552,RDC_杭州,2021-11-22,218
217,LG68552,RDC_杭州,2021-11-29,107
218,LG68552,RDC_杭州,2021-12-06,113
219,LG68552,RDC_杭州,2021-12-13,191
220,LG68552,RDC_杭州,2021-12-20,194
221,LG68552,RDC_杭州,2021-12-27,191
222,LG68552,RDC_杭州,2022-01-03,363
223,LG68552,RDC_杭州,2022-01-10,186
224,LG68552,RDC_杭州,2022-01-17,221
225,LG68552,RDC_杭州,2022-01-24,203
226,LG68552,RDC_杭州,2022-01-31,194
227,LG68552,RDC_杭州,2022-02-07,142
228,LG68552,RDC_杭州,2022-02-14,198
229,LG68552,RDC_杭州,2022-02-21,127
230,LG68552,RDC_杭州,2022-02-28,165
231,LG68552,RDC_杭州,2022-03-07,182
232,LG68552,RDC_杭州,2022-03-14,179
233,LG68552,RDC_杭州,2022-03-21,289
234,LG68552,RDC_杭州,2022-03-28,104
235,LG68552,RDC_杭州,2022-04-04,228
236,LG68552,RDC_杭州,2022-04-11,112
237,LG68552,RDC_杭州,2022-04-18,169
238,LG68552,RDC_杭州,2022-04-25,241
239,LG68552,RDC_杭州,2022-05-02,182
240,LG68552,RDC_杭州,2022-05-09,134
241,LG68552,RDC_杭州,2022-05-16,145
242,LG68552,RDC_杭州,2022-05-23,232
243,LG68552,RDC_杭州,2022-05-30,323
244,LG68552,RDC_杭州,2022-06-06,364
245,LG68552,RDC_杭州,2022-06-13,427
246,LG68552,RDC_杭州,2022-06-20,346
247,LG68552,RDC_杭州,2022-06-27,281
248,LG68552,RDC_杭州,2022-07-04,203
249,LG68552,RDC_杭州,2022-07-11,83
250,LG68552,RDC_杭州,2022-07-18,192
251,LG68552,RDC_杭州,2022-07-25,143
252,LG68552,RDC_杭州,2022-08-01,219
253,LG68552,RDC_杭州,2022-08-08,144
254,LG68552,RDC_杭州,2022-08-15,162
255,LG68552,RDC_杭州,2022-08-22,193
256,LG68552,RDC_杭州,2022-08-29,209
257,LG68552,RDC_杭州,2022-09-05,111
258,LG68552,RDC_杭州,2022-09-12,159
259,LG68552,RDC_杭州,2022-09-19,164
260,LG68552,RDC_杭州,2022-09-26,150
261,LG68552,RDC_杭州,2022-10-03,261
262,LG68552,RDC_杭州,2022-10-10,194
263,LG68552,RDC_杭州,2022-10-17,101
264,LG68552,RDC_杭州,2022-10-24,221
265,LG68552,RDC_杭州,2022-10-31,539
266,LG68552,RDC_杭州,2022-11-07,491
267,LG68552,RDC_杭州,2022-11-14,91
268,LG68552,RDC_杭州,2022-11-21,157
269,LG68552,RDC_杭州,2022-11-28,255
270,LG68552,RDC_杭州,2022-12-05,140
271,LG68552,RDC_杭州,2022-12-12,806
272,LG68552,RDC_杭州,2022-12-19,223
273,LG68552,RDC_杭州,2022-12-26,134
